Àà±ðÂë  Öµ
27    #
31   include
25    <
31   stdio
sp1    .h
26    >
1    int
31   main
21    (
12    void
22    )
23    {
6    char
16   *
31   month
28    [
29    ]
13    =
23    {
33    "
31   Jan
33    "
19    ,
33    "
31   Feb
33    "
19    ,
33    "
31   Mar
33    "
19    ,
33    "
31   Apr
33    "
19    ,
33    "
31   May
33    "
19    ,
33    "
31   Jun
33    "
19    ,
33    "
31   Jul
33    "
19    ,
33    "
31   Aug
33    "
19    ,
33    "
31   Sept
33    "
19    ,
33    "
31   Oct
33    "
19    ,
33    "
31   Nov
33    "
19    ,
33    "
31   Dec
33    "
24    }
20    ;
1    int
31   number
20    ;
31   scanf
21    (
33    "
34    %
31   d
33    "
19    ,
16    &
31   number
22    )
20    ;
31   printf
21    (
33    "
34    %
31   s
33    "
19    ,
31   month
28    [
31   number
15    -
32   1
29    ]
22    )
20    ;
7    return
32   0
20    ;
24    }
